county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year,county_total,party_perc
Fayette County,HILLARY CLINTON (DEM),6724,1156,15389,15,23284,"November 8, 2016",2016,60435,38.527343426822206
Fayette County,GARY JOHNSON (LIB),965,134,1004,0,2103,"November 8, 2016",2016,60435,3.479771655497642
Floyd County,DONALD J. TRUMP (REP),9959,778,13308,69,24114,"November 8, 2016",2016,34357,70.18657042233023
Floyd County,HILLARY CLINTON (DEM),3551,523,5053,32,9159,"November 8, 2016",2016,34357,26.65832290362954
Floyd County,GARY JOHNSON (LIB),539,54,485,6,1084,"November 8, 2016",2016,34357,3.155106674040225
Forsyth County,DONALD J. TRUMP (REP),17334,2579,49914,24,69851,"November 8, 2016",2016,97404,71.71266067101966
Forsyth County,HILLARY CLINTON (DEM),6509,1253,15686,14,23462,"November 8, 2016",2016,97404,24.087306476120077
Forsyth County,GARY JOHNSON (LIB),1528,191,2369,3,4091,"November 8, 2016",2016,97404,4.200032852860252
Franklin County,DONALD J. TRUMP (REP),3332,316,3406,0,7054,"November 8, 2016",2016,8474,83.24286051451499
Franklin County,HILLARY CLINTON (DEM),633,87,523,0,1243,"November 8, 2016",2016,8474,14.668397451026669
Franklin County,GARY JOHNSON (LIB),110,11,56,0,177,"November 8, 2016",2016,8474,2.088742034458343
Fulton County,DONALD J. TRUMP (REP),40253,7198,70143,189,117783,"November 8, 2016",2016,430599,27.353291577546628
Fulton County,HILLARY CLINTON (DEM),104280,14136,177683,952,297051,"November 8, 2016",2016,430599,68.98552946012416
Fulton County,GARY JOHNSON (LIB),7605,783,7332,45,15765,"November 8, 2016",2016,430599,3.6611789623292204
Gilmer County,DONALD J. TRUMP (REP),4440,515,5511,11,10477,"November 8, 2016",2016,12735,82.26933647428348
Gilmer County,HILLARY CLINTON (DEM),691,149,1121,4,1965,"November 8, 2016",2016,12735,15.429917550058892
Gilmer County,GARY JOHNSON (LIB),140,12,141,0,293,"November 8, 2016",2016,12735,2.3007459756576365
Glascock County,DONALD J. TRUMP (REP),532,59,644,0,1235,"November 8, 2016",2016,1390,88.84892086330936
Glascock County,HILLARY CLINTON (DEM),75,15,48,0,138,"November 8, 2016",2016,1390,9.928057553956835
Glascock County,GARY JOHNSON (LIB),10,1,6,0,17,"November 8, 2016",2016,1390,1.223021582733813
Glynn County,DONALD J. TRUMP (REP),8969,811,11702,30,21512,"November 8, 2016",2016,34112,63.062851782363985
Glynn County,HILLARY CLINTON (DEM),4685,747,6309,34,11775,"November 8, 2016",2016,34112,34.518644465290805
Glynn County,GARY JOHNSON (LIB),469,41,313,2,825,"November 8, 2016",2016,34112,2.4185037523452158
Gordon County,DONALD J. TRUMP (REP),7142,424,7608,17,15191,"November 8, 2016",2016,18879,80.46506700566766
Gordon County,HILLARY CLINTON (DEM),1432,157,1587,5,3181,"November 8, 2016",2016,18879,16.849409396684145
Gordon County,GARY JOHNSON (LIB),286,19,199,3,507,"November 8, 2016",2016,18879,2.6855235976481806
Grady County,DONALD J. TRUMP (REP),2588,180,3279,6,6053,"November 8, 2016",2016,9201,65.78632757308989
Grady County,HILLARY CLINTON (DEM),1199,107,1699,8,3013,"November 8, 2016",2016,9201,32.74644060428214
Grady County,GARY JOHNSON (LIB),83,8,44,0,135,"November 8, 2016",2016,9201,1.4672318226279752
Greene County,DONALD J. TRUMP (REP),1435,260,3793,2,5490,"November 8, 2016",2016,8840,62.10407239819005
Greene County,HILLARY CLINTON (DEM),1171,391,1633,4,3199,"November 8, 2016",2016,8840,36.18778280542986
Greene County,GARY JOHNSON (LIB),52,10,88,1,151,"November 8, 2016",2016,8840,1.7081447963800904
Gwinnett County,DONALD J. TRUMP (REP),71967,10197,64325,500,146989,"November 8, 2016",2016,325636,45.13905096488104
Gwinnett County,HILLARY CLINTON (DEM),77090,7498,80576,989,166153,"November 8, 2016",2016,325636,51.02414966404206
Gwinnett County,GARY JOHNSON (LIB),7904,730,3780,80,12494,"November 8, 2016",2016,325636,3.836799371076908
Habersham County,DONALD J. TRUMP (REP),2545,744,9898,3,13190,"November 8, 2016",2016,16134,81.75282013139953
Habersham County,HILLARY CLINTON (DEM),592,203,1688,0,2483,"November 8, 2016",2016,16134,15.389859923143673
Habersham County,GARY JOHNSON (LIB),183,28,250,0,461,"November 8, 2016",2016,16134,2.857319945456799
Hall County,DONALD J. TRUMP (REP),23488,2422,25781,42,51733,"November 8, 2016",2016,70220,73.67274280831671
Hall County,HILLARY CLINTON (DEM),7161,1081,7920,18,16180,"November 8, 2016",2016,70220,23.04186841355739
Hall County,GARY JOHNSON (LIB),1380,124,798,5,2307,"November 8, 2016",2016,70220,3.28538877812589
Hancock County,DONALD J. TRUMP (REP),390,43,408,2,843,"November 8, 2016",2016,3580,23.54748603351955
Hancock County,HILLARY CLINTON (DEM),1361,303,1031,6,2701,"November 8, 2016",2016,3580,75.44692737430168
Hancock County,GARY JOHNSON (LIB),21,2,13,0,36,"November 8, 2016",2016,3580,1.005586592178771
Haralson County,DONALD J. TRUMP (REP),4743,331,4505,6,9585,"November 8, 2016",2016,11324,84.64323560579301
Haralson County,HILLARY CLINTON (DEM),715,109,650,1,1475,"November 8, 2016",2016,11324,13.025432709290003
Haralson County,GARY JOHNSON (LIB),151,12,101,0,264,"November 8, 2016",2016,11324,2.3313316849169907
Harris County,DONALD J. TRUMP (REP),5029,457,6449,1,11936,"November 8, 2016",2016,16401,72.77605024083897
Harris County,HILLARY CLINTON (DEM),1733,225,2128,0,4086,"November 8, 2016",2016,16401,24.913115053960126
Harris County,GARY JOHNSON (LIB),200,23,156,0,379,"November 8, 2016",2016,16401,2.3108347052009024
Hart County,DONALD J. TRUMP (REP),3047,297,3941,1,7286,"November 8, 2016",2016,10080,72.28174603174602
Hart County,HILLARY CLINTON (DEM),1019,182,1384,0,2585,"November 8, 2016",2016,10080,25.64484126984127
Hart County,GARY JOHNSON (LIB),106,10,93,0,209,"November 8, 2016",2016,10080,2.073412698412698
Heard County,DONALD J. TRUMP (REP),1818,196,1355,1,3370,"November 8, 2016",2016,4206,80.12363290537327
Heard County,HILLARY CLINTON (DEM),351,70,321,1,743,"November 8, 2016",2016,4206,17.66524013314313
Heard County,GARY JOHNSON (LIB),60,6,27,0,93,"November 8, 2016",2016,4206,2.211126961483595
Henry County,DONALD J. TRUMP (REP),11669,1771,32218,66,45724,"November 8, 2016",2016,98286,46.5213763913477
Henry County,HILLARY CLINTON (DEM),13630,1645,34664,118,50057,"November 8, 2016",2016,98286,50.92993915715361
Henry County,GARY JOHNSON (LIB),1026,106,1364,9,2505,"November 8, 2016",2016,98286,2.5486844514986875
Houston County,DONALD J. TRUMP (REP),10481,1478,23416,55,35430,"November 8, 2016",2016,59744,59.30302624531334
Houston County,HILLARY CLINTON (DEM),7537,1085,13860,71,22553,"November 8, 2016",2016,59744,37.74939742903053
Houston County,GARY JOHNSON (LIB),791,99,861,10,1761,"November 8, 2016",2016,59744,2.947576325656133
Irwin County,DONALD J. TRUMP (REP),1290,76,1345,5,2716,"November 8, 2016",2016,3665,74.10641200545702
Irwin County,HILLARY CLINTON (DEM),397,40,454,0,891,"November 8, 2016",2016,3665,24.31105047748977
