,county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year
237,Jeff Davis County,DONALD J. TRUMP (REP),"1,804",165,"2,133",2,"4,104","November 8, 2016",2016
238,Jeff Davis County,HILLARY CLINTON (DEM),478,37,386,0,901,"November 8, 2016",2016
239,Jeff Davis County,GARY JOHNSON (LIB),48,5,33,0,86,"November 8, 2016",2016
240,Jefferson County,DONALD J. TRUMP (REP),"1,482",155,"1,422",4,"3,063","November 8, 2016",2016
241,Jefferson County,HILLARY CLINTON (DEM),"2,001",345,"1,465",10,"3,821","November 8, 2016",2016
242,Jefferson County,GARY JOHNSON (LIB),40,5,24,1,70,"November 8, 2016",2016
243,Jenkins County,DONALD J. TRUMP (REP),728,95,"1,069",3,"1,895","November 8, 2016",2016
244,Jenkins County,HILLARY CLINTON (DEM),529,78,501,15,"1,123","November 8, 2016",2016
245,Jenkins County,GARY JOHNSON (LIB),12,2,20,0,34,"November 8, 2016",2016
246,Johnson County,DONALD J. TRUMP (REP),969,141,"1,409",0,"2,519","November 8, 2016",2016
247,Johnson County,HILLARY CLINTON (DEM),472,150,514,0,"1,136","November 8, 2016",2016
248,Johnson County,GARY JOHNSON (LIB),19,2,6,0,27,"November 8, 2016",2016
249,Jones County,DONALD J. TRUMP (REP),"3,063",391,"4,850",1,"8,305","November 8, 2016",2016
250,Jones County,HILLARY CLINTON (DEM),"1,416",325,"2,220",0,"3,961","November 8, 2016",2016
251,Jones County,GARY JOHNSON (LIB),116,16,128,0,260,"November 8, 2016",2016
252,Lamar County,DONALD J. TRUMP (REP),"2,013",214,"2,956",7,"5,190","November 8, 2016",2016
253,Lamar County,HILLARY CLINTON (DEM),852,146,"1,269",3,"2,270","November 8, 2016",2016
254,Lamar County,GARY JOHNSON (LIB),66,5,54,1,126,"November 8, 2016",2016
255,Lanier County,DONALD J. TRUMP (REP),785,45,"1,154",0,"1,984","November 8, 2016",2016
256,Lanier County,HILLARY CLINTON (DEM),332,24,449,1,806,"November 8, 2016",2016
257,Lanier County,GARY JOHNSON (LIB),40,3,29,1,73,"November 8, 2016",2016
258,Laurens County,DONALD J. TRUMP (REP),"6,409",641,"5,359",2,"12,411","November 8, 2016",2016
259,Laurens County,HILLARY CLINTON (DEM),"3,273",469,"3,009",1,"6,752","November 8, 2016",2016
260,Laurens County,GARY JOHNSON (LIB),171,26,116,0,313,"November 8, 2016",2016
261,Lee County,DONALD J. TRUMP (REP),"4,925",311,"5,408",2,"10,646","November 8, 2016",2016
262,Lee County,HILLARY CLINTON (DEM),"1,491",158,"1,518",3,"3,170","November 8, 2016",2016
263,Lee County,GARY JOHNSON (LIB),161,20,118,0,299,"November 8, 2016",2016
264,Liberty County,DONALD J. TRUMP (REP),"2,760",259,"3,106",9,"6,134","November 8, 2016",2016
265,Liberty County,HILLARY CLINTON (DEM),"3,358",340,"5,833",25,"9,556","November 8, 2016",2016
