county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Heard County,Jill Stein (Grn),0,2,0,0,2
Henry County,Donald J. Trump (Rep),"34,472","9,033","1,471",6,"44,982"
Henry County,Kamala D. Harris (Dem),"63,967","14,884","4,381",21,"83,253"
Henry County,Chase Oliver (Lib),266,158,21,0,445
Henry County,Jill Stein (Grn),202,131,21,0,354
Houston County,Donald J. Trump (Rep),"34,925","8,388","1,767",10,"45,090"
Houston County,Kamala D. Harris (Dem),"25,235","7,774","2,876",22,"35,907"
Houston County,Chase Oliver (Lib),199,118,22,0,339
Houston County,Jill Stein (Grn),94,71,13,0,178
Irwin County,Donald J. Trump (Rep),"2,421",856,63,0,"3,340"
Irwin County,Kamala D. Harris (Dem),630,301,54,1,986
Irwin County,Chase Oliver (Lib),5,6,1,0,12
Irwin County,Jill Stein (Grn),2,2,0,0,4
Jackson County,Donald J. Trump (Rep),"28,262","7,159","1,059",17,"36,497"
Jackson County,Kamala D. Harris (Dem),"7,245","2,404",818,5,"10,472"
Jackson County,Chase Oliver (Lib),126,78,4,0,208
Jackson County,Jill Stein (Grn),32,27,7,0,66
Jasper County,Donald J. Trump (Rep),"4,884","2,099",212,8,"7,203"
Jasper County,Kamala D. Harris (Dem),"1,152",536,191,2,"1,881"
Jasper County,Chase Oliver (Lib),17,7,1,0,25
Jasper County,Jill Stein (Grn),5,2,2,0,9
Jeff Davis County,Donald J. Trump (Rep),"3,237","1,590",108,0,"4,935"
Jeff Davis County,Kamala D. Harris (Dem),539,318,67,0,924
Jeff Davis County,Chase Oliver (Lib),2,7,0,0,9
Jeff Davis County,Jill Stein (Grn),3,1,0,0,4
Jefferson County,Donald J. Trump (Rep),"2,188","1,457",113,7,"3,765"
Jefferson County,Kamala D. Harris (Dem),"1,871","1,462",338,3,"3,674"
Jefferson County,Chase Oliver (Lib),7,11,1,0,19
Jefferson County,Jill Stein (Grn),2,2,1,0,5
Jenkins County,Donald J. Trump (Rep),"1,532",617,68,0,"2,217"
Jenkins County,Kamala D. Harris (Dem),700,405,74,0,"1,179"
Jenkins County,Chase Oliver (Lib),1,8,0,0,9
Jenkins County,Jill Stein (Grn),3,0,1,0,4
Johnson County,Donald J. Trump (Rep),"1,923",894,96,0,"2,913"
Johnson County,Kamala D. Harris (Dem),645,328,93,0,"1,066"
Johnson County,Chase Oliver (Lib),1,4,0,0,5
Johnson County,Jill Stein (Grn),0,0,0,0,0
Jones County,Donald J. Trump (Rep),"7,796","2,939",342,2,"11,079"
Jones County,Kamala D. Harris (Dem),"3,168","1,270",519,2,"4,959"
Jones County,Chase Oliver (Lib),19,18,3,0,40
Jones County,Jill Stein (Grn),8,5,1,0,14
Lamar County,Donald J. Trump (Rep),"5,909","1,479",185,2,"7,575"
Lamar County,Kamala D. Harris (Dem),"1,855",678,262,0,"2,795"
Lamar County,Chase Oliver (Lib),16,17,0,0,33
Lamar County,Jill Stein (Grn),5,3,1,0,9
Lanier County,Donald J. Trump (Rep),"2,018",661,47,0,"2,726"
Lanier County,Kamala D. Harris (Dem),628,302,65,0,995
Lanier County,Chase Oliver (Lib),4,9,0,0,13
Lanier County,Jill Stein (Grn),2,0,0,0,2
Laurens County,Donald J. Trump (Rep),"9,032","5,886",536,6,"15,460"
Laurens County,Kamala D. Harris (Dem),"4,316","2,762",741,1,"7,820"
Laurens County,Chase Oliver (Lib),18,26,2,0,46
Laurens County,Jill Stein (Grn),12,14,0,0,26
Lee County,Donald J. Trump (Rep),"8,843","3,515",296,1,"12,655"
Lee County,Kamala D. Harris (Dem),"3,143","1,497",317,0,"4,957"
Lee County,Chase Oliver (Lib),26,13,6,0,45
Lee County,Jill Stein (Grn),15,11,0,0,26
Liberty County,Donald J. Trump (Rep),"6,332","2,721",386,2,"9,441"
Liberty County,Kamala D. Harris (Dem),"9,268","3,018","1,168",5,"13,459"
Liberty County,Chase Oliver (Lib),41,29,5,0,75
Liberty County,Jill Stein (Grn),28,23,2,0,53
Lincoln County,Donald J. Trump (Rep),"2,718",725,113,3,"3,559"
Lincoln County,Kamala D. Harris (Dem),806,336,207,2,"1,351"
Lincoln County,Chase Oliver (Lib),7,7,1,0,15
Lincoln County,Jill Stein (Grn),4,2,0,0,6
Long County,Donald J. Trump (Rep),"2,997","1,473",87,0,"4,557"
Long County,Kamala D. Harris (Dem),"1,617",718,140,1,"2,476"
Long County,Chase Oliver (Lib),10,5,0,0,15
Long County,Jill Stein (Grn),2,5,1,0,8
Lowndes County,Donald J. Trump (Rep),"20,734","6,541",761,45,"28,081"
Lowndes County,Kamala D. Harris (Dem),"13,291","4,802","1,332",62,"19,487"
Lowndes County,Chase Oliver (Lib),71,62,7,0,140
Lowndes County,Jill Stein (Grn),47,36,4,0,87
Lumpkin County,Donald J. Trump (Rep),"11,469","2,366",501,3,"14,339"
Lumpkin County,Kamala D. Harris (Dem),"2,504",504,344,4,"3,356"
Lumpkin County,Chase Oliver (Lib),54,22,5,0,81
Lumpkin County,Jill Stein (Grn),18,11,2,1,32
Macon County,Donald J. Trump (Rep),"1,441",433,42,0,"1,916"
Macon County,Kamala D. Harris (Dem),"1,602",958,195,0,"2,755"
Macon County,Chase Oliver (Lib),7,4,0,0,11
Macon County,Jill Stein (Grn),0,3,1,0,4
Madison County,Donald J. Trump (Rep),"8,724","3,820",403,4,"12,951"
Madison County,Kamala D. Harris (Dem),"2,236","1,199",315,3,"3,753"
Madison County,Chase Oliver (Lib),28,25,4,0,57
Madison County,Jill Stein (Grn),12,13,1,0,26
Marion County,Donald J. Trump (Rep),"1,427",857,63,1,"2,348"
Marion County,Kamala D. Harris (Dem),769,331,153,0,"1,253"
Marion County,Chase Oliver (Lib),5,6,0,0,11
Marion County,Jill Stein (Grn),6,2,1,0,9
McDuffie County,Donald J. Trump (Rep),"5,175","1,166",221,0,"6,562"
McDuffie County,Kamala D. Harris (Dem),"2,515",964,458,0,"3,937"
McDuffie County,Chase Oliver (Lib),19,9,2,0,30
McDuffie County,Jill Stein (Grn),2,4,2,0,8
McIntosh County,Donald J. Trump (Rep),"3,479","1,038",228,2,"4,747"
McIntosh County,Kamala D. Harris (Dem),"1,769",607,250,2,"2,628"
McIntosh County,Chase Oliver (Lib),14,11,0,0,25
McIntosh County,Jill Stein (Grn),5,2,1,0,8
Meriwether County,Donald J. Trump (Rep),"4,417","2,736",220,2,"7,375"
Meriwether County,Kamala D. Harris (Dem),"2,186","1,816",370,1,"4,373"
Meriwether County,Chase Oliver (Lib),11,15,2,0,28
Meriwether County,Jill Stein (Grn),8,3,1,0,12
Miller County,Donald J. Trump (Rep),"1,405",539,100,1,"2,045"
Miller County,Kamala D. Harris (Dem),373,237,60,0,670
Miller County,Chase Oliver (Lib),0,5,0,0,5
Miller County,Jill Stein (Grn),1,3,0,0,4
Mitchell County,Donald J. Trump (Rep),"3,086","1,863",198,3,"5,150"
Mitchell County,Kamala D. Harris (Dem),"2,090","1,164",447,0,"3,701"
Mitchell County,Chase Oliver (Lib),9,8,1,0,18
Mitchell County,Jill Stein (Grn),3,5,0,0,8
Monroe County,Donald J. Trump (Rep),"9,415","3,270",264,5,"12,954"
Monroe County,Kamala D. Harris (Dem),"3,106","1,162",419,2,"4,689"
Monroe County,Chase Oliver (Lib),24,17,0,0,41
Monroe County,Jill Stein (Grn),11,7,2,0,20
Montgomery County,Donald J. Trump (Rep),"1,869","1,073",90,1,"3,033"
Montgomery County,Kamala D. Harris (Dem),489,335,102,1,927
Montgomery County,Chase Oliver (Lib),4,5,0,0,9
Montgomery County,Jill Stein (Grn),3,1,0,0,4
Morgan County,Donald J. Trump (Rep),"7,106","2,258",223,2,"9,589"
Morgan County,Kamala D. Harris (Dem),"2,488",770,275,0,"3,533"
Morgan County,Chase Oliver (Lib),29,18,2,0,49
Morgan County,Jill Stein (Grn),7,2,1,0,10
Murray County,Donald J. Trump (Rep),"10,450","4,240",275,0,"14,965"
Murray County,Kamala D. Harris (Dem),"1,512",798,149,0,"2,459"
Murray County,Chase Oliver (Lib),16,11,2,0,29
Murray County,Jill Stein (Grn),4,11,0,0,15
Muscogee County,Donald J. Trump (Rep),"21,094","7,950","1,572",0,"30,616"
Muscogee County,Kamala D. Harris (Dem),"33,965","11,029","4,419",0,"49,413"
Muscogee County,Chase Oliver (Lib),118,121,16,0,255
Muscogee County,Jill Stein (Grn),114,82,11,0,207
